"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"C1qa",0.265916535048738,32.5195439688063,1.09814030035985,0.312176589084341,0.761422122278169,-4.58932580357623
"X.78",0.58885857321172,29.4902806496793,1.0971867052886,0.312562832117462,0.761422122278169,-4.58939982538262
"Pla2g2a",-0.246246503025358,26.0825586162216,-1.09507807293903,0.313418306991014,0.761422122278169,-4.58956341800256
"X.95",0.421373391963108,31.0176692388861,1.08226979291886,0.318656072026993,0.766459278714023,-4.59055447662741
"Cap1",0.699353170924205,25.003762410834,1.07492193119249,0.321693093930735,0.766459278714023,-4.59112093752035
"X.82",0.384839411000737,28.2767651807416,1.07488205645917,0.321709639239508,0.766459278714023,-4.59112400730078
"Cct8",-0.626331624861393,26.501873319936,-1.07198147446864,0.322915047206392,0.766459278714023,-4.59134718637572
"A2ml1",0.349309801001908,31.0308583677218,1.05689161318937,0.329245458001686,0.77701928088398,-4.59250422886682
"Serpina3n",-0.417338905118932,32.347835306037,-1.04604128374574,0.333859191211309,0.783430943012902,-4.59333192146002
"Serpina4",-0.288607864357598,30.4097064302419,-1.01361675982491,0.347957210868452,0.802593693445248,-4.59578287682067
"C4a.C4.LOC100909666",0.265585357756471,35.0343476311151,1.01187085745481,0.348729592127702,0.802593693445248,-4.59591385497286
"Eno1.Eno3.Eno2",0.264128826947776,25.2760028265543,1.00331323320927,0.352535157569192,0.802593693445248,-4.59655432781475
"X.2",-0.369251498651789,29.9436828437878,-0.995634911469688,0.355977601055658,0.802593693445248,-4.59712680617588
"A1bg",-0.227824431810028,36.4374649447152,-0.994946322474778,0.35628760962006,0.802593693445248,-4.59717804341338
"Ctsq",0.389837505628673,24.9288010777638,0.994023512967315,0.356703399853376,0.802593693445248,-4.59724668214059
"Hbb.b1.0.beta.2.globin",-0.627732821529925,28.2621211987767,-0.980347810071052,0.362910110808733,0.802593693445248,-4.59826026355635
"X.85",-0.253763329979627,30.3239044047546,-0.978295753125517,0.363848696206465,0.802593693445248,-4.5984117598068
"Calr",-0.300217433099959,24.7976024057084,-0.977149185330233,0.364373948227496,0.802593693445248,-4.59849633865257
"Tspan9",-0.439607633228295,27.2012473643893,-0.97363227967364,0.365988767673257,0.802593693445248,-4.59875546321244
"X.65",0.286103674352471,28.9011126616729,0.970149806742642,0.367593273933616,0.802593693445248,-4.5990115916855
"Ubb.Uba52.Rps27l3.Rps27a.LOC100360548.Ubc.RGD1560997",0.433904930276643,26.7901608892254,0.965490371431034,0.369748613477107,0.802593693445248,-4.5993535622595
"Cpn1",0.19732957383637,30.339481834171,0.962896855878869,0.37095255845195,0.802593693445248,-4.59954354805774
"X.6",0.597261928146651,28.2275664984732,0.960918254017258,0.371873096799953,0.802593693445248,-4.59968831430463
"Fn1.1",0.275660517039242,30.6534467743927,0.956669155692463,0.373855960837068,0.802593693445248,-4.59999868948432
"C1qc",0.247658297046677,32.75620638567,0.951070485311152,0.376481087468103,0.802593693445248,-4.600406563481
"Ecm1",-0.29009981339486,28.2699680515282,-0.951049790932106,0.3764908170639,0.802593693445248,-4.60040806881059
"X.60",0.345755186936781,30.6117690074042,0.947165893883703,0.378320292364462,0.802593693445248,-4.60069028577917
"Fga",0.558253633287841,31.7832513887468,0.945835370244681,0.378948596178749,0.802593693445248,-4.60078682759526
"X.56",-0.272663152462027,29.0627389364698,-0.938094196217933,0.382620083822859,0.806235176626739,-4.60134710631399
"C6.1",0.352258291841235,32.07004745218,0.932898749610797,0.385099437766536,0.807340445672992,-4.601721765744
"C3.1",0.211840472301549,26.7269773324718,0.922364428175061,0.390164243251655,0.810434281176062,-4.60247799617846
"C8b",0.235287255707476,31.8059076337333,0.921670165392942,0.390499811026722,0.810434281176062,-4.60252767209607
"Fcgbp",0.352756157071937,26.2713819788541,0.911323077214604,0.395527013053303,0.811354544873984,-4.60326559722787
"Apoc2",0.372504814948979,30.2324693128184,0.90736807163057,0.397461457746361,0.811354544873984,-4.60354644129424
"Kng1.Map1",-0.252877274250288,32.6963907334524,-0.907231166968486,0.397528547201662,0.811354544873984,-4.60355615070313
"Stom",-0.226224699867196,26.4701074152138,-0.903950556618808,0.399138748440463,0.811354544873984,-4.60378857010587
"Psmb8.1",-0.394042345149927,27.588696104864,-0.897559943559776,0.402289496952235,0.811354544873984,-4.60423996455056
"LOC100912012",0.377965342810437,24.6325302078374,0.892817426709643,0.404639724382095,0.811354544873984,-4.60457377645232
