"","P17410_B_10","P17410_B_25","P17410_B_28","P17410_B_29","P17410_B_8","P17410_B_9"
"C1r",33.3651540104747,33.2486984957087,32.9003253481761,32.8028770514255,33.5004747238263,33.1019631216383
"Ldha",28.7474321497921,29.6930699381751,29.6440611785307,28.8894541559409,29.1102832104996,28.2164620560184
"Plac8",28.7312063678732,29.8019024617611,29.0780099615463,29.4348974259508,28.5667788006293,28.924563536176
"Flna",26.944025505613,29.3823674236767,29.2000403922365,28.6862556832602,28.3784864341902,NA
"Lims1",NA,25.4690199569772,24.8320973003643,NA,NA,NA
"Il1rap",26.5531369683416,28.6181391285474,NA,25.1789264854553,26.4035851134293,NA
"X.40",25.8547890744197,26.5109599399669,26.0789770347635,27.3636928419657,27.8179358076098,25.6336719759536
"Itga2b",27.2717747492359,28.1785941164734,27.1908410563618,26.9823967299156,26.9864170463198,27.1684438146911
"Ganab",30.9553922146695,31.0706722075223,31.0460266969251,31.2929641024901,30.7783909296603,31.2208958631361
"LOC100361952",28.5235770306315,27.8385793845104,29.4402150992609,29.0955452359271,28.006138226794,28.0640425936895
"Itih3",33.6632058068074,33.7021292319421,33.7179403093725,33.7750971039353,33.5900032240218,33.5026101169253
"X.41",29.1496231704017,29.4586349939866,29.1701882637501,29.7000341260426,29.2527074745473,28.4709988297667
"X.42",NA,26.6921887303966,26.7169883414739,26.4846832774394,26.8449367290039,27.3915738730479
"X.43",28.2157217615712,26.9139917961,NA,NA,29.2239362203728,28.1034959236776
"X.44",30.214772703821,30.648645172628,29.9056963125156,29.6014103066952,30.4865410654771,30.1745044646638
"Itih2",32.9835251791186,32.8975331795963,33.0514823547764,32.9607867661701,32.9795274483839,33.0363966158672
"RGD1565368.LOC685186.Gapdh.ps2.Gapdh.GAPDH.RGD1562758",27.0912381164609,28.1610603604612,27.2395434664377,27.4392046628948,27.1074923113879,25.215305178949
"X.45",28.1707851932626,29.497546473822,28.8834069397737,29.0483803557965,29.1663141632153,28.6081603895048
"Fcgbp",27.0906325781347,26.3969553912971,26.266601555911,25.6214547537462,26.3301241643142,25.9225234297212
"rCG_21066",29.8218936541277,30.2963598404587,29.9616839002322,30.7434248836167,30.2466048857669,30.4364868443209
"Parvb",25.6000848571352,28.1299153813872,NA,26.1854633162742,25.4905402333089,25.5906939455523
"X.46",26.0457273380447,NA,27.2957907904177,27.6647873119266,28.8182101624725,27.4888407923842
"C8g",31.7219985259469,31.8611968523487,31.5363997475498,31.4531690090479,31.4245733581274,31.8219088556728
"X.47",30.571090168835,31.0168418391859,31.1250323275264,30.9976577597819,30.6249684049272,29.388046198676
"Fbln1.1",28.0877527950934,27.3739315538389,26.8162885818846,27.5194585721084,28.1158984604928,27.5635458895629
"X.48",28.7647116656825,29.54982558157,29.5054429349994,29.1303819114314,30.5374184365192,27.769448754984
"X.49",28.7904820400035,28.5254451776836,26.7806921413334,29.09194425676,28.4349968159161,27.364026953834
"Actbl2",25.7197061187236,26.0667955940903,25.8992674819688,26.3947823005899,NA,25.726790040369
"A2ml1",31.5020884237474,30.2865892397352,31.0596273524458,31.2223938094815,31.1813338733336,30.9331175075872
"Mgam",30.3774111232135,30.59814765336,31.196656132901,30.6995874379348,30.1089881073134,30.3792717318211
"LOC100912012",24.9171600759866,24.7786133838081,24.5959945199615,NA,24.0882078800163,25.459170681725
"Prl8a3",25.0972393691601,24.9023302121183,26.0535993033927,NA,25.4689267666465,25.6948207798703
"LOC100362150",27.9000625743234,24.9221150620133,27.9355642555164,27.753151242031,NA,26.7096456988595
"C8a",32.3553410557539,32.5542839125088,32.0244908444559,31.9986667550726,32.2472842273464,32.1752186112211
"X.50",26.5436851215491,NA,26.5926340491311,28.1993852386176,25.9790197097406,27.1510275360593
"Vnn3",26.2783836635247,26.0355906537753,NA,25.7399278757277,25.8561673244977,25.9525373998504
"LOC680058.Dstn",NA,NA,25.3078589526612,24.7278548270869,NA,NA
"Ighv13.1",29.9976577597819,29.9209630691689,29.2452225705956,28.3982364705351,28.3342395907015,27.612806981102
"Mmrn1",28.4588109717511,29.0962995468514,28.5350094660113,28.7689442058935,28.5051021543102,28.4471895696596
"X.51",26.4229406871393,NA,30.0772460245198,28.6971033156872,25.5432426177757,NA
"X.52",30.6011623205125,30.3907952451327,30.1241079772561,31.3288688443927,30.5321319648954,28.0511322537415
"Hspa8.LOC102549957.LOC680121",28.7727240300047,29.3024085189017,29.9663675319014,29.297847064876,29.2907690544578,28.5352320011098
"H6pd",25.920730288967,24.9316587349466,NA,24.1515888997705,NA,NA
"Tgfbi",25.440884371292,25.4714097844117,25.9856355919136,25.2974710294091,24.8722051765253,25.9719788524192
"Calm2.Calm3",NA,24.6705525240247,24.7901464182316,NA,24.3963021742974,NA
"Cct8",26.4402507487947,27.7231222027128,27.1970429725563,25.524952221831,26.3231988308416,25.8026729428796
"Ighv7.1",27.2185420998512,28.5975439632549,27.6923217773872,27.2443607862179,27.22719976972,27.587492782408
"X.53",27.2951777161765,27.51216633288,28.3167838764177,28.1720737187152,28.3794783180663,27.8930761440073
"Pltp",27.3269741738905,26.9299897580533,27.6939838303358,27.4466375833564,27.3821200126307,27.4957180593099
"X.54",26.811151818937,26.9697193795936,NA,26.6292312027947,28.233887620273,NA
"Reln",NA,25.0920854433541,25.4786481760528,NA,25.4148361795402,NA
"Nid1",24.6293979787085,NA,25.0292215001204,NA,NA,25.6466382487042
"Ubb.Uba52.Rps27l3.Rps27a.LOC100360548.Ubc.RGD1560997",27.7132561308314,26.941341212957,26.9263745454091,25.8519095138951,26.5700624071723,26.7380215250874
"X.55",24.8541945947874,NA,NA,24.9717596411625,26.7284518025637,NA
"X.56",28.9235721780902,29.6564916395908,29.0200123218192,28.9207075766924,29.1613006774609,28.6943492251652
"Xdh",27.667632197196,28.2579980564465,27.3404502290993,27.6924548121091,27.8528739738043,27.2950901128707
"Serpina3m",28.2714185722088,28.9292843733738,NA,NA,28.5513850437774,27.8989677682488
"Igfals",30.1901346032141,30.5247729233875,29.9800554433165,30.0131851526388,30.1109800924982,30.198472207137
"Angpt1",26.1935694249852,26.0495129041135,25.5432131126978,24.5766361142353,24.670822625881,26.0610988842226
"Fn1.1",30.3889494483967,30.7959095012798,30.4041578782498,30.3467821680895,31.1532765142598,30.8316051360803
"X.58",36.2813335645367,35.9760907631681,35.7811935765357,35.9130466610914,36.0552252287994,35.0918733431017
"LOC100361052",30.7832395407145,31.0147154401409,30.0480424972336,30.5755149247213,30.1895456278882,30.351107460838
"X.59",24.1377429037392,24.8969372979715,NA,NA,25.5237564777532,NA
"X.60",30.7456703238224,31.2053641685384,30.0018237117492,30.10948636152,30.7787042354959,30.8295652432996
"X.61",25.0834679653365,26.3137170225284,24.2907383000675,NA,26.6452643841675,23.8618328145592
