"","P17410_B_10","P17410_B_25","P17410_B_28","P17410_B_29","P17410_B_8","P17410_B_9"
"Serpina3l",31.1492234026882,31.1507370897863,31.807932029529,31.8708171893645,31.1038710556514,30.7435051381179
"Serpina3k",33.6801807460612,33.4003198733053,34.2082019002109,34.3719186885247,33.6624632158658,33.2165805835179
"S100a4",24.2121537718886,24.9841583554831,24.2598305979336,23.892636195592,24.0587065597939,24.2227300574751
"A2m",37.1105056893226,36.3112346073153,37.2315814385222,37.166292461683,36.6051260974533,36.9514415893592
"Hspa5",27.8906431704647,28.1091376016445,27.8926709332398,28.2157680411048,27.3587556829226,27.539342720961
"Pf4",30.5852197924864,29.4626965611496,29.0694306729856,30.9941544358354,29.9134212226139,30.2319211296524
"C4a.C4.LOC100909666",35.1870397967912,35.3158801560879,34.6822232223654,34.7065614782573,35.053506735656,35.2608743975328
"Mbl2",29.6735747801909,29.9551843285468,29.4453751067579,29.4699321277325,29.8571526787135,29.9281832841395
"Kng1l1",33.7701816135211,33.4158879929684,34.1942507116863,34.4488073481259,33.9079536872128,33.8278063547694
"Kng1",31.1266946670298,31.0365603742575,31.8326240018774,31.3782383566312,30.9745958529187,31.1475261855207
"Tpm4",NA,28.2346643313172,28.1958704119487,26.2027887931664,27.9867967671502,NA
"Glul",25.0568063742112,26.1462568173871,26.2662977234031,25.9217973627502,25.448308664967,NA
"Pygl",25.2970161578743,25.0239874563716,NA,24.6646517011693,25.0749619880174,NA
"Ppia",26.0349822801732,26.4806524119813,27.3042595380837,25.8545750899706,25.7650912057489,25.6941299993731
"Ces1c",32.0296006522847,31.863377183132,31.0473925467604,31.3884876299877,32.1702419975215,31.4268240138625
"Psap",28.604170701326,28.000669201247,28.8581907275507,28.4262641787601,28.6649907041647,28.3581687954941
"Pkm",25.7029788039694,NA,NA,NA,25.0736960540225,NA
"Tf.Srprb",37.5195511325099,37.2894985171314,37.2711750412079,37.6375383739617,37.609054238471,37.4478687896945
"A1i3",37.6669923753883,37.3045356263289,37.5999411419207,37.4847928583137,37.3717888972385,37.6135892904382
"Klkb1",29.212060979154,29.3447733585768,29.1386317108428,29.4191674640474,29.0859310185185,29.4834306076968
"Pla2g2a",25.9875233826482,26.0346884907269,NA,NA,26.0999899801761,25.7907927313024
"Fgb",30.8136001776763,31.1506160532461,32.4083400834809,31.9149541274582,33.1553742118567,32.9286068794568
"Apom",30.3302053910048,29.6776965525229,30.0211514624489,30.4915191820373,30.3357521735955,31.0280860808176
"F9",NA,26.0092388435569,26.1046560162462,25.5899800157478,25.4344083275801,25.607497383016
"Psma2",NA,27.9583133095459,27.0311793812851,26.6903247830561,27.5453948602582,27.3151000736022
"Calr",24.3045902936949,NA,25.0313687127236,24.4966173193574,24.8164106631236,24.8214801106567
"Psma1",27.3549786625938,27.6650584952058,27.718164931215,27.2717747492359,27.0479125305616,28.0894712521138
"Psmb1",28.0571886778343,28.3526235162484,27.5932041716601,27.915075264432,27.5986091283472,27.6305509845751
"Psma3",26.6727658678956,24.9362047865712,NA,NA,25.8719232808575,26.7794402364988
"Nme2.Nme1",NA,25.2127475041017,25.1851040865212,24.8608861642359,24.8860440839904,NA
"Apoc1.LOC100910181",30.1683003414633,29.0994131880403,29.193122890226,30.4696604776003,31.1918412731876,30.797920226401
"Mbl1",26.6547175263718,28.3747193340535,28.6534880148757,27.4122376152945,27.8682065083267,28.1544600510543
"Hpx",34.9399096465638,34.8386000462414,35.2493697878162,34.9685148472755,35.1137689156226,35.0861889270168
"Igh.1a",35.1627147327439,35.0930941472327,34.9400847309137,35.363718947242,35.0635862490376,34.5919545073424
"X.95",30.8472239097961,31.4080616466658,30.2148884760026,30.7979975060453,31.1594251423847,31.6784187524222
"X.96",33.7162034148817,34.3538304833381,33.3926642700883,33.8144026408698,34.5413244547479,33.0937238357324
"Psma4",27.8678531519856,27.7356995905075,26.8101713108432,27.2490716313534,27.8447571888331,27.2073206181527
"Ahsg",34.1214703251457,33.92415291333,34.2755870092055,34.4234842812673,33.9416595346319,34.2238902021262
"Ppib",22.8813836101065,NA,23.3937517982465,24.3147890026898,NA,NA
"Ca2",NA,NA,26.2080094020327,26.0156753657688,25.8302122771772,25.6431736011635
"Serpina6",30.9423064556498,30.848866050438,31.5418090800991,31.8296030453157,30.3565746108091,31.3037806785132
"C1qa",32.830509996677,32.5409551070867,32.1091438302388,32.5096581665203,32.4657011978815,32.6612955144335
"Psmb3.RGD1564425",28.3852096052929,27.8766026572447,27.3827796811565,27.8029810201494,28.380345657405,27.8812785760676
"Psmb2",27.1515114832783,26.2997956316679,26.9373053861373,26.8716178317137,26.9141058837234,26.0298533650476
"Vcp",28.4362286829607,29.5222304652894,29.2776611779636,29.4360499287995,29.3625228407099,28.0620361707364
"Timp3",25.9168868296634,27.4486867544774,24.8512900144543,26.3776427963871,25.9997449271813,26.4449961482475
"S100a8",NA,NA,24.532967959856,24.2957907904177,NA,NA
"Lum",26.4385068506637,26.4158517363024,27.1151543301662,26.4720608690595,27.0782645173548,26.584341853835
"Pon1",31.4428270648264,31.3561547955753,31.8735698296558,31.8007382549372,30.9941544358354,31.4746003895794
"C8b",31.9337506851444,32.0321980597077,31.6961499335915,31.3364440243394,31.8845281695682,31.9523749300484
"Apoc4",28.4376579194757,NA,27.7491918268356,28.9404453377184,30.4118538902605,30.1415092496144
"Pcsk9",27.4582634148661,27.142678133649,28.1575953496907,27.7971781311173,27.4580286839969,27.7693856959967
"Actb",32.0019578972156,33.2673776021466,33.0473112823592,32.3660404270302,32.9898985955298,31.7793306431219
"Psma6",28.7472720726722,29.2565141491251,28.5147265731986,28.4751804452225,28.5702940793493,28.2180801269884
"Actg1",25.4201799775275,27.0043175208848,27.09385918287,25.6095277594838,25.7150776081742,25.3878819106794
"Acta1.Actc1.Acta2.Actg2",28.3109036115695,29.3431854781939,28.9701858227789,28.7496394021394,28.3120296344131,27.7579263794722
"Tubb2a.Tubb2b",29.5279260709534,31.3601381165359,31.164888652055,30.5548099385598,30.6349530943585,29.7313520513161
"Plg",34.9093851099182,34.6359585811126,34.5394767701397,34.8560099616634,34.6558159426338,34.7362038001519
"Mug1",35.2318496223767,34.9669261414344,35.1851575630638,35.005751853567,34.9359646207507,35.0919915305958
"Lpl",24.8633934308538,NA,NA,24.3642607861113,24.343265972845,NA
"Cap1",NA,24.7290485311191,24.973424811944,NA,26.8504318065988,24.5103261796233
"Sod3",NA,NA,NA,NA,24.8092146734151,24.0461854620782
"Ctsq.LOC100364523.Ctsql2",29.2060865005426,29.6174036225204,29.8966457601641,30.0520656677684,28.5556694639523,30.2737543805799
"Igh.6",36.8049646168384,36.6069192078263,37.1557775557252,37.2035968630207,37.1800706438435,36.6979939513153
"Azgp1",29.6254562197967,29.5659258704621,29.7556999487108,29.841206684456,29.0892439267688,29.5724822692726
"Vtn",31.7807781698934,31.8732764647946,31.9388411716563,31.7629945811551,31.6837819371893,31.9203952466521
"Lbp",24.010519910719,NA,24.3240233850882,NA,24.175237650291,NA
"Psmb10",25.7114323508714,26.1242953601013,25.8684184805964,25.571639937808,26.0405320403986,25.4729285251018
"LOC500183",31.5162962372881,31.2860383614816,30.7130922161529,31.4333062545857,32.2741433145633,30.6054959364609
"Cd5l",33.457456367451,33.1782201098192,33.8202167006987,33.9300708551843,33.9515935696943,33.1824295049277
"Ctsr",28.0082772961175,27.6887251949323,29.1249707225969,29.0692001675596,27.608371923198,27.9566527487723
"Dnpep",27.5786671765876,27.349336713612,NA,NA,26.4809913150708,27.0597175946105
"Ighg",28.0521175064002,NA,27.4059234870926,28.3822849580422,28.890353257267,26.6405834342274
"Igh.6.1",30.4009051296508,30.0604650983334,30.3237786447283,30.3278522402089,30.157980762113,29.5310537452182
"Ighg.1",24.692374992748,NA,23.9529594580979,25.1387195850937,NA,24.323748586032
"LOC367586",26.8475674210631,25.2480039803347,NA,NA,25.942236532226,26.2162862704801
"X.97",30.8943200087972,30.0683034073046,31.0212176638962,30.9846799057837,30.4107425315831,30.9295947851238
"Hgfac",28.4341219491372,28.7543624391406,28.6577185950503,28.7397927108644,28.6883250206314,28.9077603362938
"Itih4.ITIH4",36.6125598478898,36.7661136878671,36.1536842194598,36.4682407588318,36.49370662815,36.810481621806
"LOC100364175",26.9663125186489,27.0131851526388,26.9105649654131,26.9970116322616,27.3614355607065,26.3208083974008
"Loxl1",26.9778195095995,26.9062125953644,26.3258426079692,25.9349684187517,26.2408357229018,26.5503945219116
"Pglyrp2",29.9846799057837,30.0175720656113,30.3432913912755,30.4725683562539,29.8623206885228,29.8247790755441
"Amy1a",28.5657987951547,28.1625496809707,28.8016249877971,28.8841059905027,28.3066080006711,29.2340247173169
"Apoh",31.8896862357372,31.5437920396006,31.7062321052264,32.3331147778329,32.1294302757163,32.1675229467571
"Cfhr1",26.1984487884738,26.745093258622,27.6737769374169,25.8642439650962,25.8264590717248,26.9011565502215
"Serpinc1",33.7041924357844,33.9039201797648,33.9892219092881,33.7189610360607,33.7529439616967,33.7254766411384
"Actr2",NA,24.6613932129611,24.8349925352129,23.5478086249427,NA,NA
"LOC367586.1",37.3141925958991,37.4206011465915,36.3644040418529,36.4264241538154,37.6907935969191,36.156606506762
"IgG.2a",27.0195617156865,27.7167267467242,NA,25.8007243713072,24.3727864325863,26.3313719856487
"Hps5.Saa4",28.2230155764305,28.3225543197707,26.9054094088573,28.0978823172141,29.1311918420661,27.1153528024517
"Apon",26.1479652288149,27.0101997505577,27.8655542237746,27.3829445511688,27.3214794943958,26.9357328438941
"C4bpa",33.4043863114162,33.7093375733379,33.5602419333925,34.0510771375053,33.8102900797132,33.489032270922
"Fcna.Fcn1",28.1094365438422,28.585345168692,28.5688817492895,28.8600277255097,27.5269379555507,28.5145760965319
"Serpina4",30.4620724484294,30.239452418819,30.7586730543805,30.6639056140626,29.8633107132736,30.4708243324863
"Kng1.Map1",32.5403085210632,32.3742270218317,32.9278301930095,33.1664308968915,32.7107954530373,32.4587523148813
"LOC366772",32.5624954512979,32.5241424003621,32.2642485348153,32.0801722555985,32.5934579818635,31.981383092547
"Tagln2",25.5512750193701,26.7678714528339,27.1693999384195,25.3528928705008,25.4517707822203,NA
"Stom",26.0859006360771,NA,26.8454153935872,26.4953368477762,NA,NA
"Anxa11",27.4969372597551,27.5400082218758,26.8922656086285,27.8770709316971,26.9668625567969,26.0448106533183
"Tuba4a",29.5318531922223,31.2655624520855,31.0234006091922,30.4321117233306,30.3999889711887,28.9477082719794
"Cct2",23.3809978834274,26.5331908100546,25.7914139132456,NA,NA,NA
"Rap1b.Rap1a",26.4401873712367,27.2488907291537,27.0437474030468,27.5172071748961,26.9255825085839,26.5639240419656
"Ecm1",28.2794113629623,28.6210774086688,28.2002743035883,28.4237021624199,28.4861957900405,27.6091472814896
"Serpina10",29.3044336294368,29.3649662288347,29.7960023656898,29.6912404152708,29.3576236147388,29.8857794229345
"Hbb.b1.0.beta.2.globin",27.190275921521,27.3105136295771,29.531946122432,28.8855030766159,28.4747550938893,28.1797333486249
"A1m",39.5536346920789,39.6633681976368,39.7951226950626,39.8503270099259,39.4259827733393,39.8256787583707
"Ctsj",NA,NA,26.7307854219381,26.3590574178039,NA,25.3605818900246
"X.98",25.8847173821564,NA,26.462934433053,26.2208128544808,25.4842222985005,26.2481125911108
"Ambp",32.0979513668594,32.1161030290628,31.5737556778342,32.1772104014331,31.698097477923,32.0529401952831
"Gsn",33.0066966960857,33.260804311058,32.7785475910831,32.8565851434429,32.8758962996788,32.6331999260124
"Lap3",25.6846114490644,25.4218177799513,25.1013733411701,25.4292128667503,25.086710615629,24.5743856445433
"Actn1",28.1204046423547,28.9933717631972,28.8593761552305,28.202891522949,27.817996779866,26.7185569146547
"Mug2",29.252459354323,29.7785945861928,29.6237307058814,28.914391063317,29.6128421254983,28.8584278910224
"Fetub",32.9050686366412,31.8028192877857,33.0510285037835,33.1156225569366,32.5964158062956,32.801104580231
"fn.1",NA,24.864102244206,NA,24.1870693024726,NA,NA
"X.99",26.9310049064763,26.9215022936345,27.7281922783607,27.7327272254179,26.600169949296,26.6755950788559
"Kng1l1.1",32.185770481298,32.205742855416,32.9711730872779,32.7989245390352,32.4042340266575,32.3118672815003
"C2",28.5552671966666,28.5012723070259,28.443637395576,28.1539287872869,28.8673818755287,28.6100278649372
"C4a.1",30.3213074480012,30.3761693830357,29.3038459869056,29.5872423921443,30.1686589977836,30.1282936301102
"Cct3",NA,26.2953178704023,24.2366635799909,25.7248922531438,NA,NA
"C1s.1",NA,27.3057386453927,27.0623965034693,26.9009263084334,28.8932497709305,28.4274235962113
"Serping1",31.702315041162,31.5366776431571,31.6166239270406,32.1233680703892,32.4691509956961,31.7365868816623
"Man2b1",28.3414686021116,26.6432011311474,28.4723940487196,29.1073925364966,27.3272312242325,27.9819614293041
"Psma5",28.5374184365192,27.3019072463639,26.8319523859911,27.6590806561795,27.7761174252536,27.6963738277289
"Tuba1b.Tuba1a.Tuba3a",26.7672400488058,27.4190066822529,28.0031918182673,27.4332465515072,27.2988522598074,26.445501404144
"Thbs1.1",34.5362955228951,35.0649516390181,34.258559744225,34.3556692318752,34.4502831882009,34.3511337948383
"Serpina11",25.2307033061022,NA,24.7423201280843,25.0992476311855,NA,25.7766069232908
"Cct4",25.1756564462735,26.3873067553176,25.441802629895,24.8879040662514,25.3817900652214,NA
"F5",29.84988025783,30.1231213504159,28.6416862013676,28.8126825299993,29.6645838910101,29.9318503181857
"Fga",30.839585830387,30.8626754023535,32.0133182855731,31.6363800283821,32.6892085908292,32.658340194956
"Serpinf1",30.4150820743435,30.662802733439,30.7806608569487,30.494192608424,30.1694955159504,30.5342674343421
"C6.1",31.9928047350719,32.5683744215797,31.4289713649143,31.6844091322841,32.0832193992976,32.6625056599323
"masp1.3",26.5578032610648,27.406653452273,27.042391143372,26.7148942541377,27.1098848410256,26.2840622841192
"Dmbt1",NA,NA,25.7071459302548,25.918025014743,NA,24.9576603836655
"Rnf40",26.0018290794075,26.4998439411125,NA,NA,26.4088411343694,26.4191192313905
"F7",26.6639734561091,27.0783663271034,27.0619846872841,27.3089526465722,25.9679180425542,25.9861566085466
"Ehd3",NA,25.8393725825735,26.239816574823,NA,24.1277034500893,NA
"RGD1564614",25.3125750064128,NA,NA,NA,NA,25.3268713409284
"Cfh.1",28.6412038444608,28.5454316857797,29.503207461034,29.114335343255,NA,29.3857033266863
"Coro1a",NA,24.8776911613208,25.5129198164929,NA,NA,NA
"Ilk",NA,26.3826147923009,26.1385633605026,25.3696950488751,25.5006038862638,24.5875500083671
"Ppbp",27.5560350641775,28.1854633162742,27.0038887853569,28.5060107239952,27.9393247107855,27.5998862892399
"Rab27b",NA,24.3566921371862,24.4476467698031,24.1636920523984,23.3963675093082,NA
"A1bg",36.2149101822524,36.6957922528141,36.5025656617917,36.4557735672549,36.1859698082204,36.5697781959578
"Cpn1",30.4169953964944,30.2252701114049,30.3482605557589,30.1489204745945,30.4049699207906,30.4924745459824
"Cpb2",28.8002368169124,28.7330829393953,29.082432836852,28.9893166644713,28.7959404567473,29.1578362445202
"Psmb7",26.1667786473977,26.9123936213384,26.357581669223,25.3548105652978,26.4821922394776,26.9209346833502
"Ctsq",24.544923410545,24.5829647435613,25.1220649119296,NA,NA,NA
